Timestamp,Instrument,Bid Price,Bid Volume,Ask Price,Ask Volume,TODO
08:30:07,SP-FUTURE,3033.0,2158,3033.0,715,NOTHING
08:30:08,SP-FUTURE,3033.0,970,3033.0,1903,NOTHING
08:30:09,SP-FUTURE,3033.0,2444,3033.0,429,NOTHING
08:30:09,SP-FUTURE,3033.0,2402,3033.0,471,NOTHING
08:30:10,SP-FUTURE,3033.0,2451,3033.0,422,NOTHING
08:30:11,SP-FUTURE,3033.0,1434,3033.0,1439,NOTHING
08:30:12,SP-FUTURE,3033.0,100,3034.0,2773,NOTHING
08:30:14,SP-FUTURE,3033.0,201,3033.0,2672,NOTHING
08:30:15,SP-FUTURE,3033.0,2615,3033.0,258,NOTHING
08:30:16,SP-FUTURE,3035.0,2693,3035.0,180,NOTHING
08:30:18,SP-FUTURE,3037.0,2656,3037.0,217,NOTHING
08:30:18,SP-FUTURE,3036.0,1038,3037.0,1835,NOTHING
08:30:19,SP-FUTURE,3036.0,1985,3037.0,888,NOTHING
08:30:20,SP-FUTURE,3036.0,2676,3036.0,197,NOTHING
08:30:22,SP-FUTURE,3036.0,1806,3036.0,1067,NOTHING
08:30:23,SP-FUTURE,3039.0,1574,3039.0,1299,NOTHING
08:30:24,SP-FUTURE,3039.0,1738,3039.0,1135,NOTHING
08:30:25,SP-FUTURE,3039.0,372,3040.0,2501,NOTHING
08:30:25,SP-FUTURE,3040.0,2702,3040.0,171,NOTHING
08:30:26,SP-FUTURE,3040.0,2406,3040.0,467,NOTHING
08:30:27,SP-FUTURE,3040.0,1119,3040.0,1754,NOTHING
08:30:28,SP-FUTURE,3039.0,2191,3040.0,682,NOTHING
08:30:29,SP-FUTURE,3039.0,2372,3039.0,501,NOTHING
08:30:29,SP-FUTURE,3039.0,2271,3039.0,602,NOTHING
08:30:31,SP-FUTURE,3039.0,2864,3039.0,9,NOTHING
08:30:32,SP-FUTURE,3039.0,37,3040.0,2836,NOTHING
08:30:33,SP-FUTURE,3039.0,526,3040.0,2347,NOTHING
08:30:34,SP-FUTURE,3040.0,901,3040.0,1972,NOTHING
08:30:35,SP-FUTURE,3040.0,2169,3040.0,704,NOTHING
08:30:36,SP-FUTURE,3040.0,1543,3040.0,1330,NOTHING
