Timestamp,Instrument,Bid Price,Bid Volume,Ask Price,Ask Volume
23:11:29,ESX-FUTURE,3091.0,2922,3091.0,38
23:11:30,ESX-FUTURE,3092.0,277,3092.0,2683
23:11:30,SP-FUTURE,3094.0,1008,3094.0,1818
23:11:31,SP-FUTURE,3094.0,1730,3094.0,1096
23:11:32,ESX-FUTURE,3091.0,2443,3091.0,517
23:11:32,SP-FUTURE,3094.0,1401,3094.0,1425
23:11:33,SP-FUTURE,3094.0,1614,3094.0,1212
23:11:33,ESX-FUTURE,3091.0,2467,3091.0,493
23:11:33,SP-FUTURE,3094.0,2206,3094.0,620
23:11:34,ESX-FUTURE,3091.0,701,3092.0,2259
23:11:34,SP-FUTURE,3094.0,2742,3094.0,84
23:11:35,ESX-FUTURE,3091.0,737,3092.0,2223
23:11:35,SP-FUTURE,3094.0,1183,3095.0,1643
23:11:35,ESX-FUTURE,3091.0,288,3092.0,2672
23:11:36,ESX-FUTURE,3091.0,1517,3091.0,1443
23:11:36,ESX-FUTURE,3091.0,2544,3091.0,416
23:11:36,SP-FUTURE,3094.0,1210,3095.0,1616
23:11:38,ESX-FUTURE,3091.0,1105,3091.0,1855
23:11:38,SP-FUTURE,3096.0,380,3096.0,2446
23:11:39,SP-FUTURE,3096.0,2342,3096.0,484
23:11:39,SP-FUTURE,3096.0,1988,3096.0,838
23:11:39,ESX-FUTURE,3090.0,1925,3090.0,1035
23:11:40,ESX-FUTURE,3089.0,959,3089.0,2001
23:11:40,SP-FUTURE,3095.0,141,3096.0,2685
23:11:41,ESX-FUTURE,3089.0,869,3089.0,2091
23:11:41,SP-FUTURE,3095.0,985,3096.0,1841
23:11:42,ESX-FUTURE,3089.0,1138,3089.0,1822
23:11:42,SP-FUTURE,3095.0,971,3096.0,1855
23:11:42,SP-FUTURE,3094.0,707,3095.0,2119
23:11:43,ESX-FUTURE,3089.0,806,3089.0,2154
23:11:43,ESX-FUTURE,3089.0,654,3089.0,2306
23:11:44,SP-FUTURE,3094.0,2085,3094.0,741
23:11:45,ESX-FUTURE,3089.0,1797,3089.0,1163
23:11:45,SP-FUTURE,3094.0,2311,3095.0,515
23:11:45,ESX-FUTURE,3089.0,217,3089.0,2743
23:11:46,ESX-FUTURE,3089.0,2945,3089.0,15
23:11:46,SP-FUTURE,3094.0,2318,3095.0,508
23:11:46,ESX-FUTURE,3089.0,2880,3089.0,80
23:11:48,ESX-FUTURE,3089.0,2871,3089.0,89
23:11:48,SP-FUTURE,3094.0,2188,3095.0,638
23:11:49,ESX-FUTURE,3089.0,153,3089.0,2807
23:11:49,SP-FUTURE,3094.0,2175,3095.0,651
23:11:49,SP-FUTURE,3095.0,2264,3095.0,562
23:11:49,ESX-FUTURE,3089.0,246,3089.0,2714
23:11:49,SP-FUTURE,3095.0,1392,3095.0,1434
23:11:50,SP-FUTURE,3095.0,1308,3095.0,1518
23:11:50,ESX-FUTURE,3089.0,482,3089.0,2478
23:11:52,SP-FUTURE,3095.0,2739,3095.0,87
23:11:52,ESX-FUTURE,3089.0,119,3089.0,2841
23:11:53,SP-FUTURE,3095.0,2723,3095.0,103
23:11:53,ESX-FUTURE,3089.0,195,3089.0,2765
23:11:53,SP-FUTURE,3095.0,2255,3095.0,571
23:11:53,SP-FUTURE,3095.0,2540,3095.0,286
23:11:54,SP-FUTURE,3095.0,1758,3095.0,1068
23:11:54,ESX-FUTURE,3088.0,767,3089.0,2193
23:11:54,ESX-FUTURE,3088.0,2861,3088.0,99
